"circo","uid","nom","sexe","naissance","bloc","liste","parti","bureau","comm","votes","pic","bio","lon","lat","geo"
"Allemagne","4f4fbcf3bd8cb56157000085","Fathi Ayadi","H",1964,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"",65.31,"http://www.marsad.tn/uploads/images/Fathi_Ayadi.jpg","Né le 17 avril 1964, il a effectué ses études primaires à l’école du village d’el Ayayda Route de Teniour, puis le secondaire au lycée de garçons de Sfax, puis au lycée Menzel Chaker, puis au lycée Route d’El Aïn, avant de rejoindre le lycée technique 9 Avril à Sfax. Il a par la suite rejoint l’ENIT pour un diplôme de premier ingénieur, mais en 1987, il a été renvoyé de l’école compte tenu de ses absences répétées en raison de sa participation aux mouvements estudiantins, et ce compte tenu du fait qu’il a été l’un des premiers fondateurs de l’UGTE. Il a par la suite rejoint la faculté des sciences de Sfax où il s’est spécialisé en mathématiques mais il n’a pas pu finir ses études, et il est parti vers l’Allemagne par la Lybie. Il a étudié la langue allemande puis les mathématiques à la faculté où il a obtenu la maitrise. Il est revenu en Tunisie après la révolution. Il avait participé à la création de plusieurs associations de défense des droits de l’Homme en Allemagne.",NA,NA,"Étranger"
"Amérique et reste de l'Europe","4f4fbcf3bd8cb56157000099","Mabrouka Mbarek","F",1980,"Congrès Pour La République","Congrès pour la république","Congrès pour la république",NA,"Commission spécialisée du réglement intérieur et de l'immunité;Commission des finances, de la planification et du développement;Commission du préambule, des principes fondamentaux et de révision de la Constitution",76.28,"http://www.marsad.tn/uploads/images/Mabrouka_Mbarek.jpg","Née dans une famille originaire de Bir Ali Ben Khalifa dans le gouvernorat de Sfax, Mabrouka M'Barek a étudié le droit et la gestion en France. Elle a poursuivi ses études à l'Ecole de Commerce de Reims, en se concentrant sur la gestion dans le monde arabe. Après une première expérience au Yémen, elle a déménagé aux États-Unis pour commencer une carrière comme auditeur spécialisé dans le contrôle financier, la sécurité informatique, la gestion des risques et de prévention de la fraude. Mabrouka a quitté le secteur à but lucratif pour se consacrer aux ONG humanitaires et des droits de l’Homme basées au Moyen-Orient. En plus d'être responsable de la relation du parti avec les médias, la contribution de Mabrouka dans le Congrès Pour la République est un projet d'une initiative de transparence gouvernementale en Tunisie. Elle a fait du gouvernement ouvert son combat principal.",NA,NA,"Étranger"
"Amérique et reste de l'Europe","52bdd52412bdaa7f9b90f157","Mohamed Zrig","H",1960,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission de l'infrastructure et de l'environnement",98.67,"http://www.marsad.tn/uploads/images/DSC_0040.jpg","Les étapes importantes : Octobre 1978 : Entrée à l’université Novembre 1981 : Rejoint le complexe industriel de Gabès en tant que chef de département au sein de la société arabe des engrais phosphatés et azotés Avril 1991 : Poursuite sécuritaire, il quitte son travail et disparait Mars 1992 : Départ du pays Mars 1992 : Jugement par contumace et condamnation à 21 ans et demi de prison Octobre 1992 : Arrivée à Montréal, Canada pour s’y installer Activité estudiantine : Il a exercé ses activités politiques, syndicales et culturelles au sein de l’université dans le cadre de la tendance islamique Membre du bureau politique à la faculté des sciences Activité syndicale : Secrétaire Générale du syndicat principal de la société arabe des engrais phosphatés et azotés à Gabès 1984 – 1991 Membre de la section universitaire du complexe chimique de Gabès A participé en tant que membre au congrès de l’UGTT en 1988 Militantisme et activité politique au Canada : Secrétaire Générale de l’association des droits de l’Homme au Magreb Arabe qui a contribué à la présentation de l’affaire tunisienne, à la dénonciation du régime répressif et à servir la cause des prisonniers politiques Président de l’association Al-Rissala qui est une association socioculturelle tunisienne fondée en 1996 Membre de la coalition des associations arabe et musulmanes pour la défense des droits politiques et sociales de la communauté arabe et musulmane et pour la lutte contre l’islamophobie Membre co-fondateur de l’Organisation internationale des exilés tunisiens qui a été fondée en Juin 2009 à Genève et membre de son bureau exécutif Membre de la coalition des tunisiens au Canada qui a été la voix de la révolution tunisienne au Canada et qui a organisé des activités à l'appui de la révolution tunisienne au Canada Activités civiles et politiques à Gabès : Actif au sein de la société civile dans les domaines du développement et de l’environnement Membre de la commission nationale chargée d’approfondir l’examen du projet d’établissement d’une faculté de Médecine à Gabès. Activité partisane : Membre dirigeant au sein du mouvement Ennahdha Activité actuelle : Membre de l’assemblée nationale constituante pour représenter les tunisiens et tunisiennes sur la circonscription des deux Amériques et reste de l’Europe. Il a rejoint l'Assemblée Nationale Constituante le 27 Décembre 2013 en remplaçant Ferdaous Oueslati qui avait démissionné de son poste pour des raisons de santé. Situation sociale : Marié et père de 4 enfants (un garçon et 3 filles) Niveau d’études : 2 ans de physique – chimie à la faculté des sciences de Tunis",NA,NA,"Étranger"
"Ariana","4f4fbcf3bd8cb56157000073","Abdelaziz Kotti","H",1970,"Aucun bloc","Congrès pour la république","Nidaa Tounes",NA,"Commission de l'énergie et des secteurs de production;Commission de tri des candidatures pour l'Instance Supérieure Indépendante pour les Élections;Commission des martyrs et blessés de la révolution et de l'amnistie générale;Commission des juridictions judiciaires, administratives, financières et constitutionnelles",45.11,"http://www.marsad.tn/uploads/images/CPR_Abdelaziz_Kotti.jpg","Né le 30 Avril 1970 à Sfax, c’est là qu’il entame ses études primaires et secondaires jusqu’à l’obtention de son baccalauréat en 1987. Il intégre par la suite pour 4 ans l’école supérieure d’horticulture de Chott Meriem, avant de mener un troisième cycle en 1992 à l’institut supérieur de l’agriculture à Tunis. Son parcours militant débute à Chott Meriem, où il était secrétaire général dans le syndicat étudiant UGET, et sera actif dans divers milieux associatifs une fois à Tunis. Sympathisant de longue date du CPR et des mouvements de défense des droits de l’Homme, il rejoint officiellement le parti immédiatement après le 14 Janvier 2011, car il partageait les convictions de Moncef Marzouki, Mohamed Abbou et Abderraouf Ayadi. Pour la future constitution, il s’engage à défendre les libertés et les droits qui empêcheront tout retour de la dictature. Marié, père de deux enfants, il maitrise la langue arabe, française et anglaise.",10.195556,36.8625,"Tunisie"
"Ariana","4f4fbcf3bd8cb5615700008f","Karim Bouabdelli","H",1975,"Bloc Démocrates","Parti libéral maghrébin","Parti Républicain Maghrébin",NA,"Commission des finances, de la planification et du développement",53.18,"http://www.marsad.tn/uploads/images/Karim_Bouebdelli.jpg","Né le 12 Novembre 1975 à Tunis, il fait ses études primaires et secondaires à Tunis jusqu’à obtenir son baccalauréat en 1996. Il décroche une maitrise en sciences politiques en 2000 d’UTAM, Montréal et ensuite un MBA en finances de l’Institut d’Administration des Entreprises à Nice, en 2001, pour finalement avoir son doctorat en management à Vienne en 2005. Il a travaillé dans un cabinet d’expert comptable à Paris en 2001 pour ensuite occuper le post de directeur financier au sein du Groupe Bouebdelli. Marié et père d’un enfant, il maitrise la langue française, anglaise, arabe et italienne.",10.195556,36.8625,"Tunisie"
"Ariana","4f4fbcf3bd8cb561570000a1","Mohamed Elarbi Fadhel Moussa","H",1964,"Bloc Démocrates","Pôle démocratique moderniste","Al Massar",NA,"Commission des juridictions judiciaires, administratives, financières et constitutionnelles;Comité mixte de coordination et de rédaction",56.08,"http://www.marsad.tn/uploads/images/Fadhel_Moussa.jpg","Professeur d'enseignement supérieur et chercheur dans les universités tunisiennes. Il est aussi professeur visiteur dans des universités étrangères depuis 1992 et doyen de la Faculté des Sciences Juridiques, Politiques et Sociales de Tunis - Université de Carthage. Il a été élu en Juillet 2008 et réélu en Juillet 2011. Fadhel Moussa est aussi un expert international auprès de multiples organisations internationales et avocat inscrit au barreau de Tunis. Ancien directeur de programmes et de stages au sein de l'Organisation Internationale de Droit du Développement (Rome, Italie) de 2004 jusqu'à 2006 et dans le centre arabe régional de l'organisation (Caire, Egypte) de 2006 jusqu'à 2008. Militant des droits de l'Homme indépendant dans plusieurs associations nationales et internationales et actif au sein de multiples associations sportives et culturelles. Il a participé à différents forums et conférences internationaux dans plusieurs domaines juridiques comme le droit constitutionnel et les sciences politiques. Il compte à son actif plusieurs publications et études dans le droit public et les sciences politiques et il a aussi encadré plusieurs travaux d'études et de recherche de doctorat de différents chercheurs dans les universités tunisiennes et étrangères.",10.195556,36.8625,"Tunisie"
"Ariana","4f4fbcf3bd8cb56157000015","Sahbi Atig","H",1959,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission du préambule, des principes fondamentaux et de révision de la Constitution;Commission des consensus;Comité mixte de coordination et de rédaction",90.83,"http://www.marsad.tn/uploads/images/Ennahdha_Sahbi_Atik.jpg","Né le 14/8/1959, il a passé son enfance entre Matmata, Tunis et Gabès pour suivre son père qui est boulanger et qui, s’il n’est pas politisé, est très pieux et lui enseignera les valeurs de l’islam. Après un bac scientifique et technologique, il intègre la faculté de mathématiques et de sciences de Tunis puis effectue une licence de théologie à l’université de la Zeitouna en 1985. Son DEA portera sur l’œuvre de Mohamed Tahar Ben Achour. Il s’engage d’abord auprès du mouvement Jamaat Islamiyya au lycée, en 1975, puis auprès de Itijah islamiyya, du MTI et enfin du mouvement Ennahdha. Il est emprisonné une première fois un an en 1987 et fait partie des bénéficiaires de l’amnistie générale du 7 novembre 1987. Il s’est marié et a trois enfants (la fille est militante du mouvement Ennahdha mais ses fils ne sont pas politisés). Il sera à nouveau emprisonné pour 16 ans entre 1991 et 2007 : pendant 7 ans il sera totalement isolé puis mis en détention avec des prisonniers de droit commun ou d’autres militants islamistes.",10.195556,36.8625,"Tunisie"
"Ariana","4f4fbcf3bd8cb56157000025","Amel Ghouil","F",1966,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission spécialisée du réglement intérieur et de l'immunité;Commission de la législation générale;Commission des pouvoirs législatif, exécutif et des relations entre eux",84.7,"http://www.marsad.tn/uploads/images/Nahdha_Amal_Ghouil.jpg","Amel Ghouil est née le 26/08/1966 et a décroché son baccalauréat littéraire puis une licence en droit privé. Après des études de droit et une scolarité à Tunis, elle devient enseignante de droit privé et fait une thèse sur le droit des contrats à la faculté de droit de Sousse. Depuis qu’elle est députée, elle continue d’enseigner à la Manouba (ISCAE). Elle est mariée et mère de trois garçons. Son mari est avocat. Ce symathisant Ennahdha a milité avec l’UGTE quand il était étudiant et a défendu des opposants de l’ancien régime. Son père était enseignant à la Zeitouna (professeur de théologie) et elle a grandi dans l’attachement aux valeurs de l’islam et à l’identité arabo-musulmane, qu’elle essaie de transmettre à ses enfants. Elle n’a pas eu d’engagement politique avant la révolution. C’est après qu’elle adhère au mouvement Ennahdha qui cherchait alors des cadres et surtout des femmes pour son parti.",10.195556,36.8625,"Tunisie"
"Ariana","4f4fbcf3bd8cb5615700001d","Mouldi Riahi","H",1949,"Ettakatol","Forum démocratique pour le travail et les libertés","Forum démocratique pour le travail et les libertés",NA,"Commission des consensus;Commission de la législation générale;Commission du préambule, des principes fondamentaux et de révision de la Constitution",79.37,"http://www.marsad.tn/uploads/images/FDTL_Mouldi_Riahi.jpg","Mouldi Riahi est né à Tunis le 12 Janvier 1949. Il a étudié au collège Sadiki à Tunis et a obtenu son baccalauréat section philosophie et littérature classique en 1968. Il a ensuite obtenu sa maitrise en langue et littérature arabe et le diplôme complémentaire en philosophie islamique de la faculté des lettres et des sciences humaines de Tunis en 1972. Il a enseigné de 1972 jusqu’à 1989 dans les lycées tunisiens à l’intérieur du pays et aussi au lycée pilote de l’Ariana. Après, il a rejoint l’enseignement français en Tunisie jusqu’à 2010. Il était coordinateur de l’enseignement de la langue arabe dans les écoles françaises en Tunisie. Pendant ce temps, il a préparé son diplôme d’agrégation en langue, littérature et civilisation arabo-musulmane en 1995. Pour des raisons liées à son affiliation politique, il a été radié de la fonction publique en 1996 sans comparaitre devant le conseil de discipline. Lorsqu’il était dans l’enseignement français, il a participé à la réforme de l’enseignement de la langue arabe dans les écoles françaises en Tunisie en coordination avec l’inspection générale de l'enseignement de la langue arabe en France. Comme résultat, l’enseignement de la langue et de la civilisation arabe ainsi que l’histoire arabo-musulmane a été renforcé au sein de ces institutions, tout comme la section internationale du baccalauréat et les sections internationales au niveau de l’enseignement de base. En guise de reconnaissance de ses services rendus dans le domaine de l’enseignement tout au long de cette période, il a reçu en 2002 l'insigne de Chevalier de l'Ordre des Palmes académiques du ministère de l’éducation français. Il avait une activité syndicale au niveau de l’enseignement secondaire depuis 1973, ensuite au sein de la Ligue Tunisienne pour la Défense des Droits de l’Homme lors de sa création, et il est resté jusqu’à maintenant au courant de ses activités, surtout au niveau de la section de l’Ariana. Il a rejoint le Mouvement des Démocrates Socialistes en 1982 et a occupé des responsabilités en son sein, de la section, à l’université, en arrivant au conseil national et finalement en tant que membre du bureau politique. Il a quitté le mouvement en 1992 lorsqu’il a eu la conviction qu’il n’est pas capable de réaliser les objectifs pour lesquels il a été fondé, et lorsque le RCD et l’autorité politique qui gouvernait à l’époque avaient mis la main sur les partis d’opposition et ont trouvé du soutien de l’intérieur de ces partis. En 1994, il a été l’un des fondateurs du Forum Démocratique pour le Travail et les Libertés avec Mustapha Ben Jaafar, Khalil Ezzaouia, Abdellatif Abid, Mohamed Bennour, et plusieurs autres. Au sein du MDS, il était membre du bureau politique chargé des jeunes et rapporteur de la commission politique présidée par Ahmed Mestiri à l’époque. Depuis la création du FDTL, il est chargé des structures au sein du parti et du règlement intérieur. Il a été élu à l’Assemblée Nationale Constituante sur la circonscription de l’Ariana. Il est le président du bloc d’Ettakatol au sein de l’ANC ainsi qu’un membre de la commission de la législation générale. Il est marié et père de deux enfants.",10.195556,36.8625,"Tunisie"
"Ariana","4f4fbcf3bd8cb56157000018","Ferjani Doghmane","H",1955,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission des finances, de la planification et du développement;Commission des juridictions judiciaires, administratives, financières et constitutionnelles",76.76,"http://www.marsad.tn/uploads/images/Ferjani_Doghmane.jpg","Né le 02 Février 1955 à Tunis, il a effectué ses études primaires et secondaires à l'Ariana et ensuite au lycée Khaznadar où il a obtenu son diplôme de baccalauréat - section Lettres en 1976. Il a intégré l'école nationale d'administration et il a été diplômé en 1979 en tant qu'inspecteur. Il est ensuite parti en France pour poursuivre la deuxième phase de son enseignement à la Sorbonne. Il a eu son diplôme de l'Institut Supérieur du Commerce International en 1985. Il a rejoint le mouvement d'Ennahdha ou ce qu'on appelait autrefois le mouvement de la tendance islamiste en 1977, a été emprisonné en 1986 et a été exilé pendant 20 ans. Il est actuellement membre de l'Assemblée Nationale Constituante et du conseil de la Shoura du parti Ennahdha.",10.195556,36.8625,"Tunisie"
